,word,person,number,filename,picth
0,5,nicolas,9,5_nicolas_9.wav,142.85714285714286
1,3,yweweler,14,3_yweweler_14.wav,125.0
2,4,yweweler,38,4_yweweler_38.wav,115.94202898550725
3,3,yweweler,28,3_yweweler_28.wav,363.6363636363636
4,4,yweweler,10,4_yweweler_10.wav,125.0
5,1,nicolas,15,1_nicolas_15.wav,117.6470588235294
6,1,jackson,42,1_jackson_42.wav,111.11111111111111
7,0,theo,46,0_theo_46.wav,117.6470588235294
8,5,nicolas,48,5_nicolas_48.wav,117.6470588235294
9,9,jackson,43,9_jackson_43.wav,108.10810810810811
10,9,nicolas,14,9_nicolas_14.wav,121.21212121212122
11,4,nicolas,7,4_nicolas_7.wav,133.33333333333334
12,1,nicolas,29,1_nicolas_29.wav,111.11111111111111
13,4,jackson,0,4_jackson_0.wav,108.10810810810811
14,5,jackson,23,5_jackson_23.wav,307.6923076923077
15,9,nicolas,28,9_nicolas_28.wav,115.94202898550725
16,5,jackson,37,5_jackson_37.wav,95.23809523809524
17,2,jackson,20,2_jackson_20.wav,112.67605633802818
18,2,jackson,34,2_jackson_34.wav,320.0
19,7,yweweler,41,7_yweweler_41.wav,117.6470588235294
20,4,theo,11,4_theo_11.wav,421.05263157894734
21,7,nicolas,2,7_nicolas_2.wav,444.44444444444446
22,6,jackson,41,6_jackson_41.wav,444.44444444444446
23,6,nicolas,16,6_nicolas_16.wav,153.84615384615384
24,4,theo,39,4_theo_39.wav,125.0
25,9,theo,45,9_theo_45.wav,148.14814814814815
26,7,jackson,5,7_jackson_5.wav,114.28571428571429
27,9,yweweler,32,9_yweweler_32.wav,62.01550387596899
28,9,yweweler,26,9_yweweler_26.wav,142.85714285714286
29,7,theo,5,7_theo_5.wav,126.98412698412699
30,6,yweweler,8,6_yweweler_8.wav,347.82608695652175
31,0,yweweler,45,0_yweweler_45.wav,115.94202898550725
32,3,theo,35,3_theo_35.wav,126.98412698412699
33,3,theo,21,3_theo_21.wav,140.35087719298247
34,6,theo,30,6_theo_30.wav,125.0
35,1,nicolas,8,1_nicolas_8.wav,112.67605633802818
36,6,theo,24,6_theo_24.wav,153.84615384615384
37,5,yweweler,49,5_yweweler_49.wav,115.94202898550725
38,6,theo,18,6_theo_18.wav,153.84615384615384
39,4,jackson,33,4_jackson_33.wav,106.66666666666667
40,0,nicolas,6,0_nicolas_6.wav,71.42857142857143
41,0,nicolas,39,0_nicolas_39.wav,121.21212121212122
42,1,theo,28,1_theo_28.wav,190.47619047619048
43,4,jackson,27,4_jackson_27.wav,109.58904109589041
